date,cpi_all,cpi_core,cpi_food,cpi_energy,cpi_vehicles,cpi_shelter,gscpi,cpi_all_yoy,cpi_core_yoy,cpi_food_yoy,cpi_energy_yoy,cpi_vehicles_yoy,cpi_shelter_yoy,gscpi_lag1,gscpi_lag3,gscpi_lag6,gscpi_lag12
2010-10-01,219.035,221.83,220.521,216.71,144.313,248.692,0.6778065829727472,1.1666951489314625,0.6027183550187942,1.4113459522101302,5.857297075503509,8.936025665219848,-0.3809439880148813,0.358378272550351,-0.061722735855691394,0.2594565498941216,-0.47011464154414756
2010-11-01,219.59,222.149,220.946,219.496,144.751,248.993,0.43047379088199095,1.084544776600338,0.672056411046551,1.546550480051101,4.0600762330988305,6.646283061961267,-0.08747607449109962,0.6778065829727472,0.3054636060060529,0.3997315297144678,-0.8091501959767688
2010-12-01,220.472,222.343,221.215,227.13,145.669,249.284,0.676261028100661,1.437793022217937,0.6618948664665503,1.519476466700942,8.200938475097065,4.515124555160144,0.02608147853895293,0.43047379088199095,0.358378272550351,-0.056651002357917535,-0.6382374237583955
2011-01-01,221.187,222.803,222.469,229.258,146.478,249.621,0.7450732804677903,1.7007834915029774,0.9835337415527112,1.8216020028468227,7.730478790641304,2.5548032962493528,0.6398316359853995,0.676261028100661,0.6778065829727472,-0.061722735855691394,-0.33777997357991874
2011-02-01,221.898,223.213,223.504,232.068,146.182,249.924,0.33640860144133755,2.124898173333145,1.124445592146106,2.265822321461264,10.706789298935249,2.101653244676016,0.777025528534625,0.7450732804677903,0.43047379088199095,0.3054636060060529,-0.17653085453897985
2011-03-01,223.046,223.454,225.213,240.079,145.646,250.158,0.717872289141265,2.619241510354109,1.2097851736773357,2.8416822685967347,14.69143823509742,2.2960169128440455,0.9051525932379789,0.33640860144133755,0.676261028100661,0.358378272550351,0.3330719627045562
2011-04-01,224.093,223.727,226.072,247.977,145.542,250.412,1.5856339014470007,3.0772344447868694,1.3155392125784537,3.130802111227182,18.52508615374322,2.7258610954263185,0.9892764529619846,0.717872289141265,0.7450732804677903,0.6778065829727472,0.2594565498941216
2011-05-01,224.806,224.175,226.94,250.744,146.476,250.66,0.9208365466967703,3.4589718808964998,1.4540961794335727,3.469185842402589,21.34868436972188,3.9190646461206624,1.0204410626773353,1.5856339014470007,0.33640860144133755,0.43047379088199095,0.3997315297144678
2011-06-01,224.806,224.697,227.515,245.534,148.518,251.178,0.20112329017370126,3.5023181506360412,1.5836776766096738,3.7531066876439256,20.499204962603777,4.626244267388047,1.161118830423491,0.9208365466967703,0.717872289141265,0.676261028100661,-0.056651002357917535
2011-07-01,225.395,225.218,228.482,246.187,149.971,251.834,0.2852502419005975,3.5798809769996165,1.741483445742964,4.218323800140489,19.001628987272625,5.233945211631297,1.3702048866883976,0.20112329017370126,1.5856339014470007,0.7450732804677903,-0.061722735855691394
